Scheme,DXCC,Reference,Name,Type,Lat,Long,Locator
FBOTA,227,B/F-6065,La RUA 7,WW1,44.75889,6.81619,JN34JS
FBOTA,227,B/F-6066,La RUA 1,WW1,44.75753,6.82058,JN34JS
FBOTA,227,B/F-6067,La RUA 8,WW1,44.75696,6.81869,JN34JS
FBOTA,227,B/F-6068,La RUA 4,WW1,44.75692,6.81939,JN34JS
FBOTA,227,B/F-6069,FORT QUEYRAS 3,WW1,44.75669,6.78787,JN34JS
FBOTA,227,B/F-6070,FORT QUEYRAS 5,WW1,44.75619,6.78626,JN34JS
FBOTA,227,B/F-6071,La RUA 2,WW1,44.75610,6.82123,JN34JS
FBOTA,227,B/F-6072,FORT QUEYRAS 1,WW1,44.75610,6.79095,JN34JS
FBOTA,227,B/F-6073,FORT QUEYRAS 2,WW1,44.75597,6.79107,JN34JS
FBOTA,227,B/F-6074,BOIS de GAMBAREL,WW1,44.75524,6.80103,JN34JS
FBOTA,227,B/F-6075,La RUA 6,WW1,44.75512,6.81999,JN34JS
FBOTA,227,B/F-6076,La RUA 3,WW1,44.75509,6.82019,JN34JS
FBOTA,227,B/F-6077,CHARMANIERE,WW1,44.74726,6.80323,JN34JR
FBOTA,227,B/F-6078,CHANAROUX 3,WW1,44.74261,6.81748,JN34JR
FBOTA,227,B/F-6079,SOMMET BUCHER 2,WW1,44.74253,6.81238,JN34JR
FBOTA,227,B/F-6080,CHANAROUX 2,WW1,44.74205,6.81834,JN34JR
FBOTA,227,B/F-6081,SOMMET BUCHER 10,WW1,44.74186,6.81131,JN34JR
FBOTA,227,B/F-6082,CHANAROUX 1,WW1,44.74184,6.81820,JN34JR
FBOTA,227,B/F-6083,SOMMET BUCHER 9,WW1,44.74147,6.81112,JN34JR
FBOTA,227,B/F-6084,SOMMET BUCHER 8,WW1,44.74125,6.81132,JN34JR
FBOTA,227,B/F-6085,SOMMET BUCHER 7,WW1,44.74116,6.81116,JN34JR
FBOTA,227,B/F-6086,SOMMET BUCHER 6,WW1,44.74095,6.81116,JN34JR
FBOTA,227,B/F-6087,SOMMET BUCHER 5,WW1,44.74074,6.81112,JN34JR
FBOTA,227,B/F-6088,SOMMET BUCHER 4,WW1,44.74056,6.81108,JN34JR
FBOTA,227,B/F-6089,COL FROMAGE,WW1,44.68963,6.80740,JN34JQ
FBOTA,227,B/F-6090,Le VILLARD,WW1,44.67903,6.79969,JN34JQ
FBOTA,227,B/F-6091,MAURIN Droit 3,WW1,44.59396,6.84221,JN34KO
FBOTA,227,B/F-6092,MAURIN Droit 2,WW1,44.59391,6.84246,JN34KO
FBOTA,227,B/F-6093,MAURIN Droit 1,WW1,44.59365,6.84257,JN34KO
FBOTA,227,B/F-6094,MAURIN Gauche - PA2,WW1,44.59128,6.84371,JN34KO
FBOTA,227,B/F-6095,MAURIN Gauche - PA1-1,WW1,44.59072,6.84392,JN34KO
FBOTA,227,B/F-6096,MAURIN Gauche - PA1-2,WW1,44.59068,6.84404,JN34KO
FBOTA,227,B/F-6097,MAURIN Gauche - PA1-3,WW1,44.59062,6.84410,JN34KO
FBOTA,227,B/F-6098,MAURIN Gauche,WW1,44.59003,6.84339,JN34KO
FBOTA,227,B/F-6099,La BARGE (5/162° RAP),WW1,44.58225,6.82180,JN34JN
